Category,Language,Aspect,Count,Aspect_Category,Negative,Neutral,Positive
Unknown,English,wert,30,geld,14,16,0
Unknown,English,eu,23,jahr,3,20,0
Unknown,English,kuzey,22,projekt,10,12,0
Unknown,English,kuzey ali,19,projekt,18,0,1
Unknown,German,kuzey ali,20,projekt,20,0,0
Unknown,German,vollksverpetzer,15,mittelbau,0,15,0
Unknown,German,ali,14,projekt,0,0,14
Unknown,German,staat,13,situation,13,0,0
Unknown,German,frau,12,bmbf,6,1,5
Unknown,German,lehrer,11,professur,7,2,2
Unknown,German,beruf,11,projekt,6,3,2
Unknown,German,tag,11,mittelbau,4,4,3
Unknown,German,account,11,forschung,8,2,1
Unknown,German,grund,11,grund,7,4,0
