Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability,Aspect_Category
German,Others,dauerstelle,62,26,35,1,0.4351003082288849,0.4688264821325579,0.0960732051021149,mittelbau
German,PostDoc,dauerstelle,72,27,40,5,0.4194413339201774,0.4536871772466434,0.1268714953524371,mittelbau
German,Professor,dauerstelle,87,21,63,3,0.3559230564312003,0.5458175584502604,0.0982593841443973,mittelbau
German,Others,debatte,117,35,65,17,0.3244470706623461,0.505579725640197,0.1699732002746473,thema
German,PostDoc,debatte,135,48,67,20,0.3681770215983744,0.4566058991683854,0.1752170780535649,thema
German,Professor,debatte,100,30,61,9,0.3556443928182125,0.4977085700817406,0.1466470384132117,thema
German,Others,deutschland,147,48,91,8,0.4177361992853028,0.4554455932990021,0.1268182045266944,deutschland
German,PhD Student,deutschland,58,20,30,8,0.4236827635302626,0.4029418190234693,0.1733754186666217,deutschland
German,PostDoc,deutschland,206,86,106,14,0.4543459552331167,0.4187179546965991,0.1269360907574735,deutschland
German,Professor,deutschland,138,55,68,15,0.4661569291914719,0.3861867424937478,0.1476563284430058,deutschland
German,Unknown,deutschland,112,62,45,5,0.5473527908990425,0.3470210728202281,0.1056261399977042,deutschland
German,Others,diskussion,111,26,66,19,0.2840791535773524,0.5098586449617738,0.2060621984739293,thema
German,PostDoc,diskussion,147,40,82,25,0.3291929462405086,0.4711945765227282,0.1996124728842556,thema
German,Professor,diskussion,133,31,75,27,0.3036903214984034,0.4745211177470541,0.2217885549215221,thema
German,Unknown,diskussion,63,26,28,9,0.3894789587292406,0.409352986762921,0.2011680556165557,thema
German,Others,druck,69,36,26,7,0.4758283978031165,0.3687438220325587,0.155427781622047,leute
German,PostDoc,druck,82,43,31,8,0.470345844401092,0.3763247877813694,0.1533293625816884,leute
German,Professor,druck,63,29,31,3,0.458570383193474,0.4184077282450975,0.1230218889753496,leute
